:START_ID(Point),:END_ID(Point),distance:double
"36.022292 -93.653619","36.022898 -93.653399",0.07018
"36.022882 -93.600908","36.023601 -93.600667",0.08278
"36.02308 -93.74034","36.023349 -93.740061",0.03902
"36.023601 -93.468697","36.023821 -93.46889",0.02998
"36.023697 -93.685162","36.023778 -93.68477",0.03636
"36.024261 -93.652111","36.024529 -93.651908",0.03493
"36.024899 -93.58151","36.025151 -93.582267",0.07357
"36.024969 -93.62736","36.02499 -93.627097",0.02375
"36.025071 -93.685467","36.025162 -93.685467",0.01011
"36.02514 -93.582701","36.025258 -93.58253",0.0202
"36.025242 -93.740077","36.025521 -93.739959",0.03277
"36.025382 -93.491388","36.025548 -93.492659",0.11571
"36.025462 -93.510099","36.025629 -93.509911",0.0251
"36.025559 -93.684738","36.025709 -93.68521",0.04558
"36.025881 -93.434928","36.026052 -93.434879",0.01951
"36.026009 -93.686031","36.026192 -93.685896",0.02368
"36.0269 -93.509107","36.029212 -93.509278",0.25738
"36.028348 -93.475021","36.029561 -93.475322",0.13748
"36.028509 -93.760328","36.029292 -93.760119",0.08902
"36.02852 -93.532608","36.02882 -93.532281",0.04444
"36.028718 -93.568148","36.028788 -93.568271",0.01352
"36.029072 -93.652852","36.029099 -93.65459",0.15622
"36.029089 -93.497697","36.02933 -93.49687",0.079
"36.029582 -93.57466","36.029582 -93.57327",0.12492
